profile,true_label,predicted_label,event_probability,acuity_distribution,device_domain_distribution,sensor_quality_distribution,base_hr_bpm,hr_variability,motion_level,contact_quality,ambient_light,snr_db,duration_s,n_samples,fs,actual_hrv_sdnn,actual_hrv_rmssd,actual_pulse_rate,reduced_hrv,elevated_hr
healthy,0,1,0.9529452323913574,"[3.6301180811326716e-11, 1.9687222230051205e-13, 0.9999964237213135, 6.570836065468606e-15, 3.5748423670156626e-06, 1.7569284915808225e-10]","[5.843923678305885e-10, 1.0]","[0.9994331002235413, 0.0005669216043315828, 2.3258571957285312e-08]",71.0037542564808,0.18936015163618336,0.2181352649747593,0.9971703260635055,0.06826165783352292,20.948188970004715,120.0,3000,25,202.1071947950604,222.2924953487456,87.0,,
healthy,0,1,0.8628816604614258,"[1.3600315469375346e-06, 3.594558606323517e-08, 0.9999985694885254, 4.855997196148362e-14, 1.3735350357091392e-10, 5.86086592591073e-08]","[6.810017566749593e-06, 0.9999932050704956]","[0.9334349632263184, 0.06655090302228928, 1.4172074770613108e-05]",63.43282387213101,0.20325723223816472,0.338826217508073,0.8856506669934604,0.06977001169705623,23.545386989088158,120.0,3000,25,240.37218076676368,289.885378958877,84.5,,
healthy,0,1,0.8734366297721863,"[1.368767470921739e-06, 4.454597402059335e-08, 0.9999984502792358, 5.864347907020423e-14, 1.6973998595570805e-10, 7.11188476998359e-08]","[9.52665777731454e-06, 0.9999904632568359]","[0.9297943115234375, 0.07018660753965378, 1.9015080397366546e-05]",65.49868949577323,0.2388670457164495,0.3241004126789502,0.9578209216950491,0.05146373901934469,23.044140933341303,120.0,3000,25,241.83878810007297,283.6545085831018,84.5,,
healthy,0,1,0.8228940367698669,"[1.4595009361073608e-06, 5.540697429751162e-07, 0.9999961853027344, 8.94640611592834e-11, 2.0378945464472054e-07, 1.5359285043814452e-06]","[0.002862559864297509, 0.9971374273300171]","[0.7188206911087036, 0.27689802646636963, 0.004281374625861645]",72.87165353438654,0.199918338209701,0.1268939145914013,0.9171444331404911,0.04481543699953636,21.273141780564316,120.0,3000,25,187.99312981357707,216.63386752338502,87.0,,
healthy,0,1,0.748870313167572,"[2.5490177080200738e-08, 4.220547467070901e-09, 0.9996999502182007, 1.8366487497534223e-10, 0.00029995330260135233, 1.617033547063329e-07]","[4.289558273740113e-05, 0.9999570846557617]","[0.9906622767448425, 0.009121318347752094, 0.000216496511711739]",76.9453343013044,0.2275124490598631,0.29160725192342946,0.9596641680249691,0.06827255839667584,24.281946825617688,120.0,3000,25,116.68100722763512,123.61639316137584,80.0,,
healthy,0,1,0.9586901068687439,"[6.497834822288828e-12, 2.2678683746484712e-14, 0.9999998807907104, 1.9359720191484264e-16, 1.6877378072877036e-07, 1.6897167692819792e-11]","[2.506838070459594e-10, 1.0]","[0.9997827410697937, 0.00021730146545451134, 8.106649240779973e-10]",65.12637512188566,0.2383636526270509,0.2830873691405341,0.9816346706718594,0.042126876653019535,21.605905327571225,120.0,3000,25,226.32317512564592,266.53329998332293,93.5,,
healthy,0,1,0.7465277910232544,"[1.978815816983115e-06, 8.125622343868599e-07, 0.999994158744812, 3.3468952609361224e-10, 6.497243703051936e-07, 2.4623122953926213e-06]","[0.006366526708006859, 0.993633508682251]","[0.6980287432670593, 0.295563280582428, 0.006407967768609524]",59.8167470522613,0.2496542872089216,0.24123716561694153,0.9082751341388257,0.024888819980411585,20.321804451652653,120.0,3000,25,169.31574724035755,247.87390878101286,109.5,,
healthy,0,1,0.8729338645935059,"[1.130902433033043e-06, 2.322309455848881e-08, 0.9999988079071045, 1.4058421818981173e-14, 4.959476232468951e-11, 3.7224396010060445e-08]","[3.5045425192947732e-06, 0.999996542930603]","[0.9438883066177368, 0.05610419064760208, 7.52631922296132e-06]",64.04634328231842,0.12977855182116962,0.12801971517354022,0.9691897406173459,0.06864502529114512,24.618798884735725,120.0,3000,25,231.16846493420258,318.1397542367292,94.0,,
healthy,0,1,0.9582098722457886,"[0.0, 0.0, 1.0, 0.0, 7.749935130572444e-21, 0.0]","[0.0, 1.0]","[1.0, 3.9351944448861863e-31, 0.0]",62.545479741385044,0.18826713465829764,0.18289530887594152,0.8857838507128739,0.03898014971461981,19.06813076980167,120.0,3000,25,189.11543560374798,244.048783263593,105.5,,
healthy,0,1,0.9191244840621948,"[0.0, 0.0, 1.0, 0.0, 6.684646580433415e-25, 0.0]","[0.0, 1.0]","[1.0, 1.0678134200452198e-37, 0.0]",67.68823608960184,0.14954112221835072,0.3107976045029044,0.9069884487912233,0.020123980790915277,18.02606505873277,120.0,3000,25,198.73745773533338,248.90529555203554,105.0,,
healthy,0,1,0.8340876698493958,"[1.4181167671267758e-06, 4.1919409454749257e-07, 0.9999971389770508, 3.3518930686593507e-11, 6.846850197916865e-08, 9.454778364670346e-07]","[0.0013914753217250109, 0.9986085295677185]","[0.7463104724884033, 0.25125396251678467, 0.002435603877529502]",72.4616673405517,0.17734311552522558,0.16950721300486948,0.9698293556474241,0.059058942292342445,19.609604300399873,120.0,3000,25,189.45841011706682,200.8218408557841,86.0,,
healthy,0,1,0.9223327040672302,"[4.312130513772772e-11, 1.7220898101619198e-13, 0.9999127388000488, 3.0420470016698925e-14, 8.72254095156677e-05, 1.0282952267459677e-09]","[4.825713606493309e-09, 1.0]","[0.9996477365493774, 0.00035151405609212816, 7.223679290291329e-07]",77.4949980611988,0.16209049752700683,0.30251640548278136,0.9417460523988185,0.026508123442467384,20.584014099389734,120.0,3000,25,138.98079957534569,158.96635817147927,83.5,,
healthy,0,1,0.8525118231773376,"[1.3328232171261334e-06, 6.388430051629257e-08, 0.9999984502792358, 3.172940426024451e-13, 6.985650946589317e-10, 1.074896402997183e-07]","[2.5578194254194386e-05, 0.9999743700027466]","[0.9077670574188232, 0.0921827107667923, 5.01998292747885e-05]",59.84230368374941,0.17465237161272046,0.3195504783455795,0.8643896359018722,0.06322248392072613,21.60780268902276,120.0,3000,25,216.59466698631303,304.2689465534311,99.0,,
healthy,0,1,0.9716591835021973,"[0.0, 0.0, 1.0, 0.0, 7.507205345232066e-19, 0.0]","[0.0, 1.0]","[1.0, 4.751975507610415e-28, 0.0]",66.99000687820019,0.2330313704892413,0.38850790831369897,0.913758486279697,0.023797041393985162,22.434660383328627,120.0,3000,25,225.35436911563738,274.2096079478418,89.0,,
healthy,0,1,0.967343270778656,"[0.0, 0.0, 1.0, 0.0, 1.3125911284841141e-30, 0.0]","[0.0, 1.0]","[1.0, 0.0, 0.0]",63.72234662142343,0.1683753706455149,0.2400183955749456,0.8833452105318538,0.07928101782986506,20.035828811867184,120.0,3000,25,231.50880109110284,287.42198761356195,97.5,,
healthy,0,1,0.8665938973426819,"[1.105863361772208e-06, 5.14279356877978e-08, 0.9999986886978149, 1.214072923140866e-13, 3.6768366129535934e-10, 9.059879602091314e-08]","[1.913539381348528e-05, 0.9999808073043823]","[0.9091634154319763, 0.09079334139823914, 4.32043889304623e-05]",68.97350707394101,0.15380429375264568,0.1953677568105936,0.9363174452510425,0.06892615863901456,20.065235899424938,120.0,3000,25,218.77133017422273,261.0476131926725,91.5,,
healthy,0,1,0.8304643630981445,"[1.794004447219777e-06, 1.5634839201084105e-07, 0.9999978542327881, 3.059779209516056e-12, 4.629879146733629e-09, 2.712486377731693e-07]","[0.00011592475493671373, 0.9998840093612671]","[0.8651542067527771, 0.1346532702445984, 0.00019258420797996223]",66.43616270295665,0.24856570580509804,0.38029908081797403,0.9433726759393858,0.07421849487428336,20.93936779223039,120.0,3000,25,226.21747714204332,268.000328029978,92.0,,
healthy,0,1,0.9944840669631958,"[5.927908676607795e-21, 3.605827755056971e-29, 1.0, 1.5764184373521595e-28, 5.147206749711586e-08, 1.865828707934318e-18]","[2.837293872106751e-22, 1.0]","[1.0, 8.766684267413893e-09, 2.479511340865837e-16]",59.53863259230037,0.1428098778056449,0.19128978913055508,0.9231387407663709,0.023754829487856163,23.929841022695456,120.0,3000,25,193.4335457036683,281.47300605936726,104.5,,
healthy,0,1,0.7634876370429993,"[1.1495317266962957e-06, 6.479647254309384e-07, 0.9999953508377075, 1.880683803134886e-10, 5.940412961535912e-07, 2.2453077690443024e-06]","[0.006657181307673454, 0.9933428168296814]","[0.6723282337188721, 0.3190003037452698, 0.008671431802213192]",74.48167539384198,0.23840650282146963,0.20895885518328572,0.8807316054736043,0.06906128637641841,21.08150618816001,120.0,3000,25,170.60990927908495,188.64130557403035,84.0,,
healthy,0,1,0.7961664199829102,"[1.8367931033935747e-06, 5.920095986766682e-07, 0.9999958276748657, 1.3082875061076749e-10, 2.359556532383067e-07, 1.5071286725287791e-06]","[0.0026814485900104046, 0.9973185658454895]","[0.7338765859603882, 0.2626425623893738, 0.00348087539896369]",72.00605840287835,0.1733501040019948,0.18793056682897363,0.8949618027921346,0.06865556406064431,23.875966911969847,120.0,3000,25,180.4405223196231,200.2220989024161,82.0,,
healthy,0,1,0.8520444631576538,"[1.3840161727785016e-06, 6.330752455596667e-08, 0.9999984502792358, 2.711186310178082e-13, 6.401193464178334e-10, 1.0860143362378949e-07]","[2.332687290618196e-05, 0.999976634979248]","[0.9072570204734802, 0.09269515424966812, 4.77811845485121e-05]",65.97191793637134,0.1759616283564173,0.38394352416341837,0.8842484727624229,0.03167011913054106,22.04010656453474,120.0,3000,25,228.99844757721652,294.58464063361754,91.5,,
healthy,0,1,0.4695300757884979,"[1.897284050755843e-06, 5.524438165593892e-06, 0.9999760389328003, 3.6737271003062233e-09, 1.148328919953201e-05, 5.041626991442172e-06]","[0.048701245337724686, 0.9512987732887268]","[0.5718855857849121, 0.38586583733558655, 0.04224858060479164]",76.3576108895048,0.24231831618845914,0.11416122243674054,0.9455527960908696,0.047113555327907314,21.9145248498201,120.0,3000,25,131.01751814971846,150.2997005985042,81.0,,
healthy,0,1,0.9897376894950867,"[2.4919729769632567e-22, 5.509454447974925e-32, 1.0, 3.1313603747430444e-31, 1.722310294383078e-08, 1.6220984670301023e-19]","[2.0805709392833897e-24, 1.0]","[1.0, 4.706278144972487e-10, 1.1326978692840796e-17]",69.2244353294113,0.21477648463734392,0.3455748729536806,0.9369590791494204,0.05785908743360016,21.30791179024965,120.0,3000,25,206.99412075581225,229.21171805975897,86.5,,
healthy,0,1,0.6774575710296631,"[1.5402277995235636e-06, 9.410779853169515e-07, 0.9999942779541016, 3.788668823112573e-10, 9.067209134627774e-07, 2.2904109755472746e-06]","[0.013481453992426395, 0.9865185618400574]","[0.6808742880821228, 0.31095218658447266, 0.008173557929694653]",60.2050527207766,0.13211815163505228,0.13200069660394861,0.9455665832910078,0.03797371769271947,20.3425857810172,120.0,3000,25,161.45000872119485,248.38561319858422,110.0,,
healthy,0,1,0.5099055171012878,"[2.0659506390074966e-06, 6.4388759710709564e-06, 0.9999712705612183, 4.2039829395434936e-09, 1.3995027074997779e-05, 6.287914402491879e-06]","[0.03722013905644417, 0.9627798199653625]","[0.5302437543869019, 0.41376352310180664, 0.05599270761013031]",77.8507626105549,0.2284754244928678,0.37616414231439566,0.9575527314013906,0.04695570222398777,21.05409051943382,120.0,3000,25,126.89550406168802,146.71871171768842,82.5,,
healthy,0,1,0.8430216908454895,"[1.7128306808444904e-06, 2.2403709465379507e-07, 0.9999977350234985, 5.764683435466322e-12, 8.497720749289783e-09, 3.9287988329306245e-07]","[0.00023601180873811245, 0.9997640252113342]","[0.8335381746292114, 0.1660352498292923, 0.00042653526179492474]",60.08444316935617,0.15185857938074207,0.2767416334060686,0.9572732786625935,0.0711135325823537,20.284307485588105,120.0,3000,25,183.31957437958147,278.59511498810974,106.0,,
healthy,0,1,0.8181010484695435,"[1.6789375649750582e-06, 4.5717246166532277e-07, 0.9999966621398926, 5.262975819042559e-11, 9.311613524687345e-08, 1.0516766906221164e-06]","[0.001423527137376368, 0.9985765218734741]","[0.7516263127326965, 0.24608729779720306, 0.0022864770144224167]",71.86968681845286,0.16941813482654394,0.1991852552044825,0.9812893176523066,0.05178515752496743,20.806168043663018,120.0,3000,25,192.0217654611579,218.89332039668483,85.0,,
healthy,0,1,0.6525541543960571,"[1.1587976587179583e-06, 1.7453359077990171e-06, 0.9999918937683105, 5.997678464986222e-10, 2.379070792812854e-06, 2.8954464141861536e-06]","[0.027304857969284058, 0.9726951718330383]","[0.5956620573997498, 0.38345015048980713, 0.02088778093457222]",74.21476518199893,0.20066262089711967,0.14640911890478261,0.8644281880610882,0.06146342266296029,21.60671523470298,120.0,3000,25,155.55710341337758,168.967452487158,81.0,,
healthy,0,1,0.848998486995697,"[1.3539450947064324e-06, 8.847120369637196e-08, 0.9999984502792358, 7.1383540354783e-13, 1.4472493203854242e-09, 1.51499705225433e-07]","[5.1361384976189584e-05, 0.9999486207962036]","[0.890500545501709, 0.10940667241811752, 9.277515346184373e-05]",67.12615385443635,0.23405959160342527,0.3953875698295731,0.8663264465405149,0.06642510497301261,23.936273491221776,120.0,3000,25,226.5044435958592,292.49708623257334,89.0,,
healthy,0,1,0.8508490920066833,"[1.4448985439230455e-06, 1.5977127532096347e-07, 0.9999982118606567, 2.5334894772355288e-12, 4.644430173783576e-09, 2.911562262397638e-07]","[0.0001505965628894046, 0.9998494386672974]","[0.8500785827636719, 0.14963339269161224, 0.00028803921304643154]",68.85763285559173,0.23892250630297301,0.38306679611429817,0.9825848650839009,0.04305548761749149,22.746398932302526,120.0,3000,25,210.4658684285863,246.37136719739297,88.0,,
healthy,0,1,0.8892085552215576,"[9.119448236560856e-07, 3.718246333050956e-08, 0.999998927116394, 4.245685224289579e-14, 1.6235093824867874e-10, 6.819622910825274e-08]","[1.1224056834180374e-05, 0.9999887943267822]","[0.9243325591087341, 0.07563982903957367, 2.7605614377534948e-05]",67.88793739690018,0.19909006820794367,0.10027730016465315,0.862748485684197,0.05405837710149544,19.643364110829378,120.0,3000,25,214.21449033941283,260.87139745545636,97.5,,
healthy,0,1,0.850361168384552,"[1.6152508806044352e-06, 8.577783461305444e-08, 0.9999982118606567, 5.136367134568609e-13, 1.0139759032412599e-09, 1.4392618652436795e-07]","[3.4938155295094475e-05, 0.9999650716781616]","[0.9018453359603882, 0.09809105098247528, 6.361857958836481e-05]",61.58883054700782,0.1835581659283242,0.3397290953119474,0.9282395910567378,0.07437240674737479,23.35218205920247,120.0,3000,25,212.97842413433295,291.63419732689965,100.0,,
healthy,0,1,0.9268505573272705,"[0.0, 0.0, 1.0, 0.0, 6.46896799995487e-21, 0.0]","[0.0, 1.0]","[1.0, 2.62086457217811e-31, 0.0]",70.24446331445351,0.24689753334502296,0.3541689889931011,0.8763407423284516,0.04768278821429975,18.122435646805155,120.0,3000,25,204.58994609572648,223.31190763702133,87.5,,
healthy,0,1,0.571195662021637,"[1.6453008129246882e-06, 4.809252459381241e-06, 0.9999794960021973, 2.2249531106410814e-09, 8.837634595693089e-06, 5.24908455190598e-06]","[0.026806725189089775, 0.9731932878494263]","[0.5166707038879395, 0.4301728904247284, 0.05315634608268738]",76.72212270264046,0.17744867873302675,0.3101516736198899,0.8753724197981517,0.07927053871535365,19.951202464923274,120.0,3000,25,132.8156275110597,137.63433393068465,82.0,,
healthy,0,1,0.8886525630950928,"[2.795314605057598e-17, 6.289855421173997e-24, 0.9999991655349731, 3.6039220895548655e-24, 8.210202508962539e-07, 5.233169024396146e-15]","[5.668100878335381e-18, 1.0]","[0.9999998807907104, 7.073677465996298e-08, 1.8240519771700603e-12]",77.34978615262685,0.22746986325106855,0.22717396174708188,0.9407376188592644,0.04499358329543117,22.5465821505778,120.0,3000,25,121.76037968942032,134.31306712304652,81.0,,
healthy,0,1,0.8561724424362183,"[1.3102038565193652e-06, 1.145188335271996e-07, 0.9999983310699463, 1.0561378160911516e-12, 2.2567983037902195e-09, 2.0293711600061215e-07]","[8.492968481732532e-05, 0.9999150037765503]","[0.8686749339103699, 0.1311536729335785, 0.0001714149839244783]",68.99882836338567,0.14279513347783213,0.30045883134234225,0.9965292998806228,0.03984137467227547,22.386304584478612,120.0,3000,25,217.52917210764727,244.3025192875271,87.0,,
healthy,0,1,0.849716305732727,"[1.4476653404926765e-06, 1.5238910577863862e-07, 0.9999982118606567, 2.0294393335978933e-12, 3.787435698399122e-09, 2.767667410807917e-07]","[0.0001276225520996377, 0.9998723268508911]","[0.8544772267341614, 0.14527352154254913, 0.00024926665355451405]",70.23611583704633,0.19923110589453819,0.18146383733244126,0.8928591261937582,0.06262824218914323,21.238039757410586,120.0,3000,25,210.70752795679212,248.16584316598792,88.5,,
at_risk,1,1,0.44201311469078064,"[1.88180692930473e-05, 5.871767143617035e-07, 0.9998096823692322, 1.721408722232809e-07, 0.0001391204568790272, 3.16614932671655e-05]","[0.19037707149982452, 0.8096228837966919]","[0.326462060213089, 0.6713099479675293, 0.0022280088160187006]",98.1898639831572,0.07923418711099625,0.1768690946928346,0.8774576279281058,0.03553337078200116,19.43790819796865,120.0,3000,25,33.31757491637441,51.692987420477145,98.0,True,True
at_risk,1,0,0.0003727074945345521,"[7.158736010037913e-24, 0.0, 1.0, 2.7587084322528476e-23, 3.9226826691082925e-22, 4.8201610410835344e-30]","[1.0, 3.3651421205149745e-08]","[1.0, 0.0, 0.0]",87.57697949917821,0.04408604485477115,0.17006299128268781,0.8602865191414684,0.08902262606633966,16.4111000425291,120.0,3000,25,21.33539289772573,33.31405993864116,87.5,True,True
at_risk,1,0,4.48856596335645e-08,"[1.2717262807822514e-38, 0.0, 1.0, 1.3178979976479211e-32, 2.306065374578522e-26, 0.0]","[1.432232425106067e-14, 1.0]","[1.0, 0.0, 0.0]",111.04425896833988,0.04565906691965374,0.2989250499790056,0.8828709658924682,0.06457711558898331,18.24690126876092,120.0,3000,25,20.043556027180564,35.1619629196613,111.0,True,True
at_risk,1,0,0.013814826495945454,"[2.0884824850583804e-17, 0.0, 1.0, 2.085697930418731e-15, 1.2346079833382845e-13, 4.5236216797969224e-20]","[0.2813323438167572, 0.7186676859855652]","[1.0, 1.1641314363727757e-27, 0.0]",118.6294346602371,0.05068564646381406,0.16674704134751725,0.9344031128070291,0.08452231575706015,16.115131748042064,120.0,3000,25,24.807081105796026,42.154730180559156,118.5,True,True
at_risk,1,1,0.12659595906734467,"[6.816595032432815e-06, 7.216259589881702e-09, 0.9998856782913208, 3.5350120697330567e-07, 9.488427895121276e-05, 1.229947702086065e-05]","[0.9979192614555359, 0.002080773701891303]","[0.003302742727100849, 0.9966944456100464, 2.802427616188652e-06]",99.90417041746566,0.060316799570785076,0.1979706303166497,0.8746084955814275,0.09417657401091713,19.319625834698414,120.0,3000,25,30.55553924104481,45.68708400270311,99.5,True,True
at_risk,1,0,3.3527662708365824e-06,"[1.0778386147913905e-32, 0.0, 1.0, 8.952541864703209e-28, 8.780277466043153e-23, 1.9130633895952056e-35]","[1.1433389346393596e-08, 1.0]","[1.0, 0.0, 0.0]",111.77751085332531,0.06444520253899533,0.22079509803030545,0.834576104636408,0.06698789482482678,16.47498687132097,120.0,3000,25,20.142576062392134,32.288294111823,111.5,True,True
at_risk,1,0,1.0851140359591227e-05,"[1.3016668363039563e-29, 0.0, 1.0, 2.0868164311887102e-26, 4.016104752432103e-22, 3.931092340617221e-34]","[0.8513938188552856, 0.14860619604587555]","[1.0, 0.0, 0.0]",86.95566751429493,0.05557191465762388,0.29493782794717394,0.9087902903502765,0.09150578501774645,18.452229363756935,120.0,3000,25,20.913452632695346,32.94510763313825,86.5,True,True
at_risk,1,1,0.06831646710634232,"[2.0359540940262377e-05, 1.1108078012966871e-07, 0.9998359680175781, 3.08006775640024e-07, 0.00011565780732780695, 2.7537735149962828e-05]","[0.9777791500091553, 0.022220859304070473]","[0.049619220197200775, 0.9500725865364075, 0.0003082029870711267]",95.67519876458525,0.07668756435327788,0.21849954406868288,0.8552701078728738,0.08089356689177554,18.853055711681197,120.0,3000,25,33.14466237317559,53.41263944901106,95.5,True,True
at_risk,1,0,0.00019212397455703467,"[8.516613977359975e-27, 0.0, 1.0, 5.945929894754094e-23, 4.140277814229778e-19, 2.1375956638064693e-30]","[0.004070261958986521, 0.9959297776222229]","[1.0, 0.0, 0.0]",116.20511728369988,0.031526948480820244,0.14476964775509632,0.8006249845335387,0.08686307039414394,15.051167108629574,120.0,3000,25,21.08446976863375,34.28778461658092,116.0,True,True
at_risk,1,0,2.3374906959361397e-05,"[1.0038372869299011e-30, 0.0, 1.0, 3.078425836482397e-26, 1.3169154589596228e-21, 1.522501545923099e-34]","[0.00010414557618787512, 0.9998958110809326]","[1.0, 0.0, 0.0]",110.74136861357651,0.06676032387684458,0.26197179389493075,0.9246364355586403,0.09691138085809933,15.1709522007094,120.0,3000,25,20.681618608737896,34.18990745365506,110.5,True,True
at_risk,1,0,0.03751332685351372,"[6.967848666417933e-16, 0.0, 1.0, 3.572473263394049e-15, 5.255519682775345e-15, 8.55643832807492e-20]","[0.999906063079834, 9.391688217874616e-05]","[1.0, 1.292735697298725e-28, 0.0]",101.65617726635159,0.060688755458745636,0.16387051880721987,0.8524222307916333,0.048226029261127054,16.338098505444023,120.0,3000,25,24.29073690756086,38.27109375122983,101.5,True,True
at_risk,1,1,0.7587770819664001,"[2.2947771460835042e-10, 2.375136157041513e-38, 1.0, 1.5391651495000325e-11, 5.26921551096543e-13, 4.2281030225902426e-15]","[1.0, 5.6746713994471065e-09]","[1.0, 3.3467289178170847e-18, 6.386183861548434e-31]",91.42546381203209,0.06507734251380957,0.27192891029964217,0.8870318065846758,0.09835241623841308,14.023745431770198,120.0,3000,25,25.185377772226744,37.83002922429629,91.0,True,True
